row_num,id,P@1,idx_correct_sentence,AP,EM,F1
749,56bec1c53aeaaa14008c936d,1.0,0,1.0,0,0
512,56be9add3aeaaa14008c9152,0.0,1,0.5,0,0
496,56d4c1c12ccc5a1400d831e7,1.0,0,1.0,0,0
915,56bed07e3aeaaa14008c94ad,1.0,0,1.0,0,0
145,573398ebd058e614000b5e68,1.0,0,1.0,0,0
996,56bed4553aeaaa14008c94e5,1.0,0,1.0,0,0
519,56bf9f6aa10cfb14005511d3,1.0,0,1.0,0,0
678,56d4d8702ccc5a1400d83294,1.0,0,0.833333333333,0,0
641,56d4d2f12ccc5a1400d8326d,1.0,0,1.0,0,0
267,5733cd504776f41900661291,0.0,1,0.5,0,0
877,56bfd565a10cfb1400551319,1.0,0,1.0,0,0.222222222222
880,56bfd565a10cfb140055131c,1.0,0,1.0,0,0
598,56bea5f23aeaaa14008c91a2,0.0,1,0.5,0,0
305,56bf725c3aeaaa14008c9644,1.0,0,1.0,0,0
140,573398164776f41900660e23,0.0,-1,0.0,0,0
369,56d462f82ccc5a1400d8311f,1.0,0,1.0,0,0
488,56be97c73aeaaa14008c912a,1.0,0,1.0,0,0
364,56be8d423aeaaa14008c90b3,0.0,-1,0.0,0,0
117,5733926d4776f41900660d90,0.0,3,0.25,0,0
298,56d43da72ccc5a1400d830bf,1.0,0,1.0,0,0
777,56d4e2142ccc5a1400d832ec,1.0,0,1.0,0,0.444444444444
773,56bfc281a10cfb14005512b5,1.0,0,0.7,0,0
182,5733b496d058e614000b60d0,1.0,0,1.0,0,0.857142857143
504,56bf9dbda10cfb14005511c5,1.0,0,1.0,0,0.727272727273
79,5733b699d058e614000b6119,1.0,0,0.833333333333,0,0
806,56bfc6a6a10cfb14005512d4,1.0,0,1.0,0,0
722,56bfbacaa10cfb1400551285,1.0,0,1.0,0,0
602,56bfaa11a10cfb1400551217,1.0,0,1.0,0,0
539,56be9c863aeaaa14008c9169,0.0,2,0.333333333333,0,0.0606060606061
438,56be94703aeaaa14008c9106,1.0,0,1.0,0,0
535,56d4c4e72ccc5a1400d8321a,1.0,0,1.0,0,0
832,56bfcd33a10cfb14005512f1,1.0,0,1.0,0,0
679,56d4d8702ccc5a1400d83296,1.0,0,1.0,0,0.222222222222
848,56bec94f3aeaaa14008c944f,1.0,0,1.0,0,0
984,56d4f6e02ccc5a1400d8339f,1.0,0,1.0,0,0
513,56be9add3aeaaa14008c9153,0.0,1,0.5,0,0
901,56becc903aeaaa14008c94a1,1.0,0,1.0,0,0
392,56bf8c8aa10cfb140055116e,0.0,2,0.333333333333,0,0
939,56bfdd3fa10cfb140055134b,1.0,0,1.0,0,0.555555555556
234,5733c4494776f419006611da,1.0,0,1.0,0,0
506,56bf9dbda10cfb14005511c8,1.0,0,1.0,0,0
621,56d4d18d2ccc5a1400d8325c,1.0,0,1.0,0,0.333333333333
796,56d4e5022ccc5a1400d832fa,1.0,0,1.0,0,0
495,56d4c1c12ccc5a1400d831e6,1.0,0,1.0,0,0
311,56d43f7e2ccc5a1400d830c9,1.0,0,0.7,0,0
640,56d4d2f12ccc5a1400d8326c,1.0,0,1.0,0,0
416,56bf91c6a10cfb1400551181,1.0,0,0.866666666667,0,0.4
644,56beabab3aeaaa14008c91db,1.0,0,1.0,0,0
918,56bfda91a10cfb1400551339,1.0,0,1.0,1,1.0
710,56bfb8dca10cfb140055127b,1.0,0,1.0,0,0.571428571429
395,56d484312ccc5a1400d8315f,1.0,0,1.0,0,0
338,56be8bab3aeaaa14008c90a0,1.0,0,1.0,0,0.333333333333
274,56bf6b0f3aeaaa14008c9603,1.0,0,1.0,0,0.285714285714
564,56bfa5b3a10cfb14005511f7,0.0,1,0.5,0,0
925,56bed1243aeaaa14008c94b4,0.0,1,0.638888888889,0,0
659,56bfb10da10cfb1400551249,1.0,0,1.0,0,0.181818181818
392,56bf8c8aa10cfb140055116e,0.0,2,0.333333333333,0,0
323,56d440df2ccc5a1400d830d3,1.0,0,1.0,0,0
429,56bf940da10cfb140055118b,1.0,0,1.0,0,0
303,56be88473aeaaa14008c9084,1.0,0,1.0,0,0
24,5733a7bd4776f41900660f6b,0.0,2,0.333333333333,0,0
257,5733cbdad058e614000b6290,0.0,3,0.25,0,0
253,5733caf74776f41900661250,0.0,3,0.25,0,0
876,56beca973aeaaa14008c947b,1.0,0,1.0,1,1.0
635,56beab283aeaaa14008c91cd,1.0,0,1.0,0,0
905,56bfd8bda10cfb140055132e,1.0,0,1.0,0,0
994,56d4f71e2ccc5a1400d833a9,0.0,1,0.5,0,0
491,56bf9c70a10cfb14005511bb,1.0,0,1.0,0,0
218,5733c0e6d058e614000b61db,0.0,1,0.5,0,0
194,573383494776f41900660c45,1.0,0,1.0,0,0
