row_num,id,P@1,idx_correct_sentence,AP,EM,F1
742,56bfbda3a10cfb1400551297,1.0,0,1.0,0,0.166666666667
5038,56d09106234ae51400d9c397,0.0,1,0.5,0,0
247,5733ca05d058e614000b6266,0.0,2,0.333333333333,0,0
2227,56cc5fd66d243a140015ef50,1.0,0,1.0,1,1.0
9954,56de0948cffd8e1900b4b567,0.0,2,0.333333333333,0,0
3729,56cedecdaab44d1400b88b8d,1.0,0,1.0,0,0
541,56bfa24ea10cfb14005511e3,1.0,0,1.0,1,1.0
9401,5733796c4776f41900660b65,1.0,0,1.0,0,0
9385,57336f3ed058e614000b5b07,1.0,0,1.0,1,1.0
7330,56d3793a59d6e414001464c5,1.0,0,1.0,0,0.75
7718,56db6621e7c41114004b5090,1.0,0,1.0,0,0
8017,56d62e521c85041400946f9f,1.0,0,1.0,0,0
4420,56d004e5234ae51400d9c268,1.0,0,1.0,0,0.153846153846
2665,56cfba85234ae51400d9bf16,1.0,0,1.0,0,0
3397,56d51b832593cc1400307a75,1.0,0,1.0,0,0.333333333333
1065,57341184d058e614000b68dc,0.0,1,0.5,0,0
7900,56d9b01bdc89441400fdb6cf,0.0,1,0.5,0,0
9635,56dcdca466d3e219004dab3d,1.0,0,1.0,1,1.0
7979,56d629291c85041400946f4a,1.0,0,1.0,0,0
8890,57335f23d058e614000b5960,0.0,4,0.2,0,0
3718,56ceddf6aab44d1400b88b6b,1.0,0,1.0,0,0.5
5089,56d005e1234ae51400d9c28a,0.0,1,0.5,0,0.333333333333
8950,573386274776f41900660c92,1.0,0,1.0,1,1.0
1703,56d3171959d6e4140014622f,1.0,0,1.0,0,0.333333333333
6509,56d0a384234ae51400d9c3e4,1.0,0,1.0,0,0.666666666667
9854,56dd374a66d3e219004dac71,1.0,0,0.7,0,0
5372,5733cc56d058e614000b62a2,1.0,0,1.0,0,0.2
808,56bfc6a6a10cfb14005512d6,1.0,0,1.0,0,0.666666666667
2446,56ce4821aab44d1400b88658,1.0,0,1.0,1,1.0
9101,5733399bd058e614000b5794,1.0,0,1.0,0,0.666666666667
2509,56ce75d4aab44d1400b887bf,0.0,4,0.2,0,0
8902,573360a4d058e614000b598b,1.0,0,1.0,1,1.0
694,56beb5b23aeaaa14008c9283,1.0,0,1.0,0,0
3885,56cedc8eaab44d1400b88b23,1.0,0,1.0,0,0
4603,56d11d3317492d1400aab9c5,1.0,0,1.0,0,0
8334,56db2495e7c41114004b4e07,1.0,0,1.0,1,1.0
1118,573420e34776f419006618ee,1.0,0,1.0,0,0.666666666667
3508,56d53bf82593cc1400307afe,0.0,1,0.5,0,0
4395,56d108f917492d1400aab7b6,0.0,1,0.5,0,0
3709,56cedd7daab44d1400b88b51,0.0,1,0.5,0,0
1479,5733d91e4776f4190066134a,0.0,1,0.5,0,0
4145,56cf331faab44d1400b88e1e,1.0,0,1.0,0,0
5133,5733b523d058e614000b60e4,1.0,0,1.0,0,0
1878,56cc13956d243a140015ee9f,1.0,0,1.0,0,0
6523,56d1d0bbe7d4791d00902227,1.0,0,1.0,0,0
9098,573337db4776f4190066079a,1.0,0,1.0,0,0
4552,56d1089117492d1400aab7ad,1.0,0,1.0,0,0
7997,56d62c011c85041400946f6e,1.0,0,1.0,1,1.0
2160,56d3a46a59d6e41400146869,1.0,0,1.0,1,1.0
9972,56de15cd4396321400ee25be,0.0,1,0.5,0,0
584,56d4ceac2ccc5a1400d83240,1.0,0,1.0,1,1.0
1089,5734173b4776f41900661852,1.0,0,1.0,1,1.0
184,5733b496d058e614000b60d2,1.0,0,1.0,0,0
6108,56cf75e24df3c31400b0d7dc,1.0,0,1.0,0,0
5388,5733dc134776f41900661392,0.0,3,0.25,0,0
6351,56d0d6db17492d1400aab663,0.0,1,0.5,0,0
2925,56cd9df862d2951400fa677c,0.0,1,0.583333333333,0,0
1664,56d313b559d6e41400146212,1.0,0,1.0,1,1.0
7727,56db66a2e7c41114004b509a,1.0,0,1.0,0,0.461538461538
4274,56cf56b2aab44d1400b89057,1.0,0,1.0,1,1.0
2618,56cfb6b8234ae51400d9bec9,1.0,0,0.833333333333,0,0
5897,57342bbc4776f419006619f3,1.0,0,1.0,0,0.0869565217391
3665,56d66b221c85041400947103,1.0,0,1.0,0,0.571428571429
8618,56d98998dc89441400fdb518,1.0,0,0.755555555556,1,1.0
7298,56db1f69e7c41114004b4da5,1.0,0,1.0,0,0
2404,56ce2b2daab44d1400b884f4,1.0,0,1.0,0,0.769230769231
2105,56cff3f4234ae51400d9c153,0.0,1,0.5,0,0
6228,56cf80ec4df3c31400b0d871,1.0,0,1.0,0,0
3589,56cec484aab44d1400b88a07,1.0,0,1.0,0,0.285714285714
7322,56d378f459d6e414001464bc,1.0,0,1.0,0,0.5
4766,56cf5472aab44d1400b88ff8,0.0,1,0.5,0,0
1741,56cf70c74df3c31400b0d799,1.0,0,1.0,0,0
6875,56d28ce759d6e41400146092,1.0,0,1.0,0,0
4851,56d3f1872ccc5a1400d82f77,0.0,2,0.333333333333,0,0
9890,56ddcd039a695914005b95dc,1.0,0,1.0,1,1.0
9362,57336cced058e614000b5ace,1.0,0,1.0,0,0
1053,573408fed058e614000b6836,0.0,4,0.2,0,0
840,56bec8a13aeaaa14008c9441,1.0,0,1.0,0,0
5146,573366944776f419006609f6,1.0,0,1.0,0,0
2020,56d38ba459d6e414001466eb,1.0,0,1.0,0,0.666666666667
3279,56cef65baab44d1400b88d37,1.0,0,1.0,0,0.125
1623,56cf63b4aab44d1400b891bf,0.0,2,0.416666666667,0,0
8021,56d62f3e1c85041400946fa5,0.0,1,0.5,0,0
5504,5733b5944776f419006610f2,0.0,1,0.5,0,0
3985,56cee90caab44d1400b88c85,1.0,0,1.0,0,0
5831,57342084d058e614000b698e,1.0,0,1.0,0,0
1303,57340e5dd058e614000b68bc,1.0,0,1.0,0,0.833333333333
1427,5733c4ca4776f419006611e7,0.0,3,0.25,0,0
8779,57331b0dd058e614000b56fa,1.0,0,1.0,0,0
1463,5733d4c24776f41900661307,1.0,0,1.0,1,1.0
7201,56db193ce7c41114004b4cfc,1.0,0,1.0,1,1.0
8262,56d8df98dc89441400fdb36d,0.0,3,0.25,0,0
6790,56d25ee359d6e41400145f0d,0.0,1,0.638888888889,0,0
9158,57334ed54776f4190066082a,1.0,0,1.0,0,0.470588235294
6074,56d10ec717492d1400aab85c,0.0,1,0.5,0,0
4109,56cf2fb5aab44d1400b88de1,1.0,0,1.0,0,0.571428571429
9541,56dc656c14d3a41400c26857,0.0,1,0.5,0,0
5316,5733a9144776f41900660f8d,1.0,0,1.0,1,1.0
4827,56d133a017492d1400aabc1c,1.0,0,1.0,0,0
8325,56d8e72adc89441400fdb3b7,1.0,0,1.0,1,1.0
